,%Down,%Up,Change
BC,0.083,0.5,1.0816
RIG,0.0,0.0,1.0
KNX,0.167,0.333,1.0645
LSI,0.25,0.5,0.9898
S,0.0,0.083,1.2
LAZ,0.333,0.0,0.9231
AGO,0.083,0.083,1.025
X,0.167,0.167,1.0909
AGCO,0.083,0.5,1.0476
ERIE,0.083,0.583,1.1569
HE,0.0,0.083,1.027
Z,0.333,0.5,1.2941
LOGM,0.25,0.417,0.8632
CR,0.083,0.333,1.0366
VSM,0.083,0.333,1.1111
NVT,0.0,0.333,1.08
IBKR,0.0,0.333,1.12
JBGS,0.167,0.25,1.0256
FSLR,0.25,0.417,1.0816
WTFC,0.25,0.5,1.0423
ETRN,0.25,0.0,0.95
CRI,0.083,0.5,1.0824
OZK,0.0,0.167,1.0645
RP,0.333,0.333,1.0172
CABO,0.25,0.667,1.0678
UAA,0.167,0.083,1.05
TRCO,0.0,0.0,1.0
CNK,0.333,0.25,0.9744
IART,0.083,0.333,1.125
DLB,0.167,0.167,1.0
SIX,0.25,0.333,0.9048
CLR,0.25,0.417,0.9565
UMPQ,0.0,0.083,1.0588
ASB,0.0,0.083,1.0455
PBF,0.25,0.333,0.9714
DOCU,0.25,0.167,1.0192
ICUI,0.25,0.333,0.992
MSM,0.25,0.333,1.0241
GPK,0.0,0.0,1.0
FNB,0.083,0.083,1.0909
EQC,0.0,0.0,1.0
ZNGA,0.083,0.167,1.25
FLO,0.083,0.333,1.1053
SRCL,0.167,0.25,1.0227
TCF,0.0,0.083,1.0455
UA,0.167,0.25,1.0
EQH,0.0,0.083,1.0556
BKU,0.0,0.083,1.0588
COR,0.167,0.5,1.0606
BRKR,0.0,0.083,1.0571
HEI,0.083,0.5,1.0805
AL,0.167,0.25,1.0
RYN,0.083,0.167,0.9667
TRN,0.167,0.25,1.0
APLE,0.083,0.083,1.0
